Player Name
Abdoulaye N'Diaye
Abdu Conté
Abduqodir Khusanov
Abel Ruiz
Achraf Hakimi
Adam Daghim
Adam Idah
Adamo Nagalo
Ademola Lookman
Adler da Silva
Adrian Bajrami
Adrián Niño
Afonso Moreira
Aidan Borland
Aitor Gismera
Alaa Ghram
Aladji Bamba
Alberto Costa
Alberto Manzoni
Aleix García
Alejandro Balde
Alejandro Francés
Alejandro Iturbe
Aleksandar Andreev
Aleksandar Katai
Aleksandr Golovin
Alen Mustafić
Alessandro Bastoni
Alessandro Calligaris
Alessandro Florenzi
Alexandar Borković
Alexander Bah
Alexander Meyer
Alexander Nübel
Alexandre Brito
Alexej Maroš
Alexis Mac Allister
Alexis Olmedo
Alexsandro Ribeiro
Alfonso Montero
Ali Al Musrati
Alisson Becker
Alisson Santana
Alistair Johnston
Almugera Kabar
Alphonso Davies
Amadou Haïdara
Amady Camara
Amara Nallo
Ameen Al-Dakhil
Amine Adli
Amine Et-Taibi
Ander Astralaga
Andrea Belotti
Andrea Cambiaso
Andrea Natali
Andreas Christensen
Andrei Coubiș
Andrej Mikoláš
Andrej Đurić
Andri Baldursson
Andrija Maksimović
Andriy Lunin
André Gomes
Andrés Cuenca
Andrés García
Angel Gomes
Anis Hadj Moussa
Anrie Chase
Ansu Fati
Antoine Griezmann
Anton Glushchenko
Antoni Milambo
Antonio Gomis
Antonio Nusa
António Silva
Arbër Hoxha
Arda Güler
Ardian Bajrami
Ardon Jashari
Arijan Ademi
Arjan Malić
Arkadiusz Milik
Armando Obispo
Arnau Martínez
Arnau Tenas
Arnaut Danjuma
Arne Engels
Artem Bondarenko
Artero
Arthur
Arthur Cabral
Arthur Melo
Atakan Karazor
Axel Disasi
Axl De Corte
Ayman Azhil
Ayyoub Bouaddi
Azpilicueta
Aïssa Mandi
Bafodé Diakité
Bart Nieuwkoop
Bartol Franjić
Belmin Beganović
Ben Broggio
Ben Hawighorst
Benjamin André
Benjamin Boakye
Benjamin Henrichs
Benjamín Domínguez
Berat Djimsiti
Bernardo Silva
Biel
Bjorn Meijer
Bobby Clark
Bojan Miovski
Borja Garcés
Boubacar Kamara
Bradel Kiwa
Bradley Barcola
Bradley Burrowes
Bradley Locko
Brahim Díaz
Brandon Mechele
Brayden Clarke
Breel Embolo
Bremer
Brendan Chardonnet
Bruma
Bruno Duarte
Bryan Gil
Bryan Okoh
Caio Henrique
Callum McGregor
Cameron Carter-Vickers
Caoimhín Kelleher
Carlos Augusto
Carlos Giménez
Carney Chukwuemeka
Casper Nielsen
Castello Lukeba
Cedric Itten
Charalampos Lykogiannis
Charles De Ketelaere
Chema Andrés
Cherif Ndiaye
Chris Bedia
Chris Führich
Chris-Kévin Nadje
Christian Fassnacht
Christian Mawissa
Christian McFarlane
Christoph Baumgartner
Christopher Olivier
Christos Alexiou
Chuba Akpom
Claudio Echeverri
Clément Lenglet
Cody Gakpo
Colby Donovan
Cole Campbell
Conor Bradley
Conor Gallagher
Conrad Harder
Couhaib Driouech
Curtis Jones
César Blackman
Daizen Maeda
Daley Blind
Dan Ndoye
Dane Murray
Dani Carvajal
Dani Ceballos
Dani Olmo
Dani Rodríguez
Daniel Bragança
Daniel Cummings
Daniel Maldini
Daniel Yáñez
Daniil Khudyakov
Danylo Ignatenko
Daouda Guindo
Darian Maleš
Dario Marzino
Darwin Núñez
David Alaba
David Jiménez
David Lelle
David López
David Murar
David Raya
David Đurić
Davide Bartesaghi
Davide Calabria
Davide Frattesi
Dawda Camara
