Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Abdu Conté,27,Young Boys,6.58,POR,5,750000,False,0.675,0.0033783783783783786,0.3333333333333333,1.0,3,1.0,3.012,2.185
Abduqodir Khusanov,21,Manchester City,7.01,UZB,3,11400000,False,0.525,0.051351351351351354,0.2,1.0,1,0.3333333333333333,2.11,3.322
Abel Ruiz,25,Girona FC,6.65,ESP,5,5700000,False,0.625,0.025675675675675677,0.3333333333333333,0.5,3,1.0,2.484,2.677
Achraf Hakimi,26,Paris Saint-Germain,7.63,MAR,5,62000000,False,0.65,0.27927927927927926,0.3333333333333333,1.0,1,0.3333333333333333,2.596,2.939
Adam Daghim,19,Red Bull Salzburg,6.97,DEN,4,5400000,False,0.475,0.024324324324324326,0.26666666666666666,1.0,2,0.6666666666666666,2.433,2.865
Adam Idah,24,Celtic,6.89,IRL,4,5000000,False,0.6,0.02252252252252252,0.26666666666666666,0.5,3,1.0,2.389,2.884
Adamo Nagalo,22,PSV Eindhoven,6.75,BUR,2,7200000,False,0.55,0.032432432432432434,0.13333333333333333,1.0,2,0.6666666666666666,2.382,2.834
Ademola Lookman,27,Atalanta,7.34,NGR,5,66000000,False,0.675,0.2972972972972973,0.3333333333333333,1.0,2,0.6666666666666666,2.972,2.47
Adrian Bajrami,23,Benfica,7.04,ALB,2,1600000,False,0.575,0.007207207207207207,0.13333333333333333,0.5,2,0.6666666666666666,1.882,3.741
Adrián Niño,20,Atlético Madrid B,6.91,ESP,1,745000,False,0.5,0.003355855855855856,0.06666666666666667,0.5,3,1.0,2.07,3.338
Afonso Moreira,20,Sporting CP B,6.78,POR,4,370000,False,0.5,0.0016666666666666668,0.26666666666666666,1.0,3,1.0,2.768,2.449
Aidan Borland,18,Aston Villa U21,7.03,SCO,0,6400000,True,0.45,0.02882882882882883,0.0,1.0,3,1.0,2.479,2.836
Aitor Gismera,21,Atlético Madrid B,6.77,ESP,1,265000,False,0.525,0.0011936936936936936,0.06666666666666667,0.5,3,1.0,2.093,3.235
Alaa Ghram,23,Shakhtar Donetsk,6.45,TUN,2,1600000,False,0.575,0.007207207207207207,0.13333333333333333,1.0,3,1.0,2.716,2.375
