Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Abdu Conté,27,Young Boys,6.58,POR,5,750000,False,0.7075,0.10304054054054054,0.4,1.0,3,1.0,1.684,3.907
Abduqodir Khusanov,21,Manchester City,7.01,UZB,3,11400000,False,0.5725,0.14621621621621622,0.28,1.0,1,0.4,1.285,5.455
Abel Ruiz,25,Girona FC,6.65,ESP,5,5700000,False,0.6625,0.12310810810810811,0.4,0.1,3,1.0,1.124,5.916
Achraf Hakimi,26,Paris Saint-Germain,7.63,MAR,5,62000000,False,0.685,0.3513513513513513,0.4,1.0,1,0.4,1.458,5.233
Adam Daghim,19,Red Bull Salzburg,6.97,DEN,4,5400000,False,0.5275,0.1218918918918919,0.33999999999999997,1.0,2,0.7,1.428,4.881
Adam Idah,24,Celtic,6.89,IRL,4,5000000,False,0.64,0.12027027027027028,0.33999999999999997,0.1,3,1.0,1.064,6.476
Adamo Nagalo,22,PSV Eindhoven,6.75,BUR,2,7200000,False,0.5950000000000001,0.1291891891891892,0.22,1.0,2,0.7,1.366,4.941
Ademola Lookman,27,Atalanta,7.34,NGR,5,66000000,False,0.7075,0.3675675675675676,0.4,1.0,2,0.7,1.591,4.613
Adrian Bajrami,23,Benfica,7.04,ALB,2,1600000,False,0.6174999999999999,0.1064864864864865,0.22,0.1,2,0.7,0.835,8.431
Adrián Niño,20,Atlético Madrid B,6.91,ESP,1,745000,False,0.55,0.10302027027027028,0.16,0.1,3,1.0,0.873,7.915
Afonso Moreira,20,Sporting CP B,6.78,POR,4,370000,False,0.55,0.1015,0.33999999999999997,1.0,3,1.0,1.557,4.355
Aidan Borland,18,Aston Villa U21,7.03,SCO,0,6400000,True,0.505,0.12594594594594596,0.1,1.0,3,1.0,1.345,5.227
Aitor Gismera,21,Atlético Madrid B,6.77,ESP,1,265000,False,0.5725,0.10107432432432432,0.16,0.1,3,1.0,0.884,7.658
Alaa Ghram,23,Shakhtar Donetsk,6.45,TUN,2,1600000,False,0.6174999999999999,0.1064864864864865,0.22,1.0,3,1.0,1.495,4.314
