Player Name,Age,Team,ASR,Market Value,Nationality,Transfer History Count
Abdu Conté,27 anni,Young Boys,6.58,750K €,POR,5
Abduqodir Khusanov,21 anni,Manchester City,7.01,11.4M €,UZB,3
Abel Ruiz,25 anni,Girona FC,6.65,5.7M €,ESP,5
Achraf Hakimi,26 anni,Paris Saint-Germain,7.63,62M €,MAR,5
Adam Daghim,19 anni,Red Bull Salzburg,6.97,5.4M €,DEN,4
Adam Idah,24 anni,Celtic,6.89,5M €,IRL,4
Adamo Nagalo,22 anni,PSV Eindhoven,6.75,7.2M €,BUR,2
Ademola Lookman,27 anni,Atalanta,7.34,66M €,NGR,5
Adler da Silva,26 anni,ŠK Slovan Bratislava,-,145K €,SUI,5
Adrian Bajrami,23 anni,Benfica,7.04,1.6M €,ALB,2
Adrián Niño,20 anni,Atlético Madrid B,6.91,745K €,ESP,1
Afonso Moreira,20 anni,Sporting CP B,6.78,370K €,POR,4
Aidan Borland,18 anni,Aston Villa U21,7.03,Not found,SCO,Not found
Aitor Gismera,21 anni,Atlético Madrid B,6.77,265K €,ESP,1
Alaa Ghram,23 anni,Shakhtar Donetsk,6.45,1.6M €,TUN,2
Aladji Bamba,18 anni,AS Monaco U19,6.20,Not found,FRA,Not found
Alberto Costa,21 anni,Juventus,7.08,9.3M €,POR,3
Alberto Manzoni,19 anni,Atalanta U20,6.89,1.1M €,ITA,Not found
Aleix García,27 anni,Bayer 04 Leverkusen,7.16,21M €,ESP,5
Alejandro Balde,21 anni,Barcelona,6.93,66M €,ESP,2
Alejandro Francés,22 anni,Girona FC,6.82,2.3M €,ESP,2
Alejandro Iturbe,21 anni,Atlético Madrid B,7.00,1.9M €,ESP,1
Aleksandar Andreev,19 anni,Girona U19,-,Not found,BUL,1
Aleksandar Katai,34 anni,FK Crvena zvezda,7.55,830K €,SRB,5
Aleksandr Golovin,28 anni,AS Monaco,7.10,24M €,RUS,2
Alen Mustafić,25 anni,ŠK Slovan Bratislava,6.85,280K €,BIH,5
Alessandro Bastoni,26 anni,Inter,7.17,75M €,ITA,5
Alessandro Calligaris,20 anni,Inter U20,6.98,245K €,ITA,0
Alessandro Florenzi,34 anni,Milan,7.03,1.4M €,ITA,5
Alexandar Borković,25 anni,SK Sturm Graz,7.13,430K €,AUT,5
Alexander Bah,27 anni,Benfica,7.10,12.7M €,DEN,5
Alexander Meyer,34 anni,Borussia Dortmund,6.88,760K €,GER,5
Alexander Nübel,28 anni,VfB Stuttgart,6.82,10.9M €,GER,5
Alexandre Brito,19 anni,Sporting CP B,6.85,Not found,POR,1
Alexej Maroš,20 anni,ŠK Slovan Bratislava B U21,5.70,68K €,SVK,1
Alexis Mac Allister,26 anni,Liverpool,7.23,99M €,ARG,5
Alexis Olmedo,19 anni,Barcelona Atlètic,6.93,195K €,ESP,Not found
Alexsandro Ribeiro,25 anni,Lille,7.16,15.5M €,BRA,4
Alfonso Montero,18 anni,Juventus U19,6.71,"Punti deboli
Predisposizione all'errore",URU,Not found
Ali Al Musrati,20 anni,Al Ahli Tripoli,-,Not found,LBA,1
Alisson Becker,Error,Error,Error,Error,Error,Error
Alisson Santana,19 anni,Shakhtar Donetsk,6.75,9.7M €,BRA,2
Alistair Johnston,26 anni,Celtic,7.42,9.5M €,CAN,4
Almugera Kabar,19 anni,Borussia Dortmund,6.67,1M €,GER,2
Alphonso Davies,24 anni,FC Bayern München,7.23,49M €,CAN,3
Amadou Haïdara,27 anni,RB Leipzig,6.84,19.4M €,MLI,4
Amady Camara,19 anni,SK Sturm Graz,6.66,1.5M €,MLI,2
Amara Nallo,18 anni,Liverpool U21,5.75,870K €,ENG,Not found
Ameen Al-Dakhil,23 anni,VfB Stuttgart,6.75,7.7M €,BEL,5
Amine Adli,25 anni,Bayer 04 Leverkusen,6.88,19.9M €,MAR,2
Amine Et-Taibi,22 anni,Club NXT U23,6.82,390K €,MAR,1
Ander Astralaga,21 anni,Barcelona Atlètic,7.20,835K €,ESP,1
Andrea Belotti,31 anni,Benfica,6.82,1.9M €,ITA,5
Andrea Cambiaso,25 anni,Juventus,6.93,42M €,ITA,5
Andrea Natali,17 anni,Bayer Leverkusen U19,7.35,Not found,ITA,1
Andreas Christensen,29 anni,Barcelona,6.84,14.4M €,DEN,4
Andrei Coubiș,21 anni,Milan Futuro,6.80,105K €,ROU,Not found
Andrej Mikoláš,20 anni,ŠK Slovan Bratislava B U21,-,26K €,SVK,1
Andrej Đurić,21 anni,FK Crvena zvezda,6.83,515K €,MNE,5
Andri Baldursson,23 anni,Bologna,7.00,930K €,ISL,5
Andrija Maksimović,17 anni,FK Crvena zvezda,7.12,9.6M €,SRB,1
Andriy Lunin,26 anni,Real Madrid,7.19,18.8M €,UKR,5
André Gomes,31 anni,Lille,6.81,7.7M €,POR,4
Andrés Cuenca,17 anni,Barcelona Atlètic,6.72,185K €,ESP,1
Andrés García,22 anni,Aston Villa,6.90,7.6M €,ESP,3
Angel Gomes,24 anni,Lille,6.86,22M €,ENG,5
Anis Hadj Moussa,23 anni,Feyenoord,7.02,12.4M €,ALG,5
Anrie Chase,21 anni,VfB Stuttgart,6.77,3.8M €,JPN,1
Ansu Fati,22 anni,Barcelona,6.69,5.2M €,ESP,4
Antoine Griezmann,34 anni,Atlético Madrid,7.31,21M €,FRA,5
Anton Glushchenko,21 anni,Shakhtar Donetsk,6.63,190K €,UKR,2
Antoni Milambo,20 anni,Feyenoord,6.94,16.5M €,NED,3
Antonio Gomis,21 anni,Atlético Madrid B,7.03,165K €,ESP,1
Antonio Nusa,20 anni,RB Leipzig,6.96,27M €,NOR,3
António Silva,21 anni,Benfica,7.11,34M €,POR,1
Arbër Hoxha,26 anni,GNK Dinamo Zagreb,6.76,1.5M €,ALB,5
Arda Güler,20 anni,Real Madrid,7.22,43M €,TUR,2
Ardian Bajrami,21 anni,Young Boys,6.83,190K €,SUI,1
Ardon Jashari,22 anni,Club Brugge KV,7.13,24M €,SUI,2
Arijan Ademi,33 anni,GNK Dinamo Zagreb,6.93,485K €,MKD,5
Arjan Malić,19 anni,SK Sturm Graz,6.67,830K €,BIH,2
Arkadiusz Milik,31 anni,Juventus,6.87,2.1M €,POL,5
Armando Obispo,26 anni,PSV Eindhoven,6.77,3.3M €,NED,3
Arnau Martínez,22 anni,Girona FC,6.93,10.8M €,ESP,3
Arnau Tenas,23 anni,Paris Saint-Germain,7.30,4.4M €,ESP,2
Arnaut Danjuma,28 anni,Girona FC,6.88,4.7M €,NED,5
Arne Engels,21 anni,Celtic,7.30,12.4M €,BEL,2
Artem Bondarenko,24 anni,Shakhtar Donetsk,7.18,10.8M €,UKR,3
Artero,22 anni,Girona B,6.62,210K €,ESP,1
Arthur,Not found,2º set • 35m,Not found,Not found,Not found,Not found
Arthur Cabral,27 anni,Benfica,6.74,12.4M €,BRA,5
Arthur Melo,8 anni,PFC EF U8,Not found,Not found,BRA,Not found
Atakan Karazor,28 anni,VfB Stuttgart,7.10,13.1M €,TUR,3
Axel Disasi,27 anni,Aston Villa,6.91,26M €,FRA,5
Axl De Corte,19 anni,Club NXT U23,6.72,385K €,BEL,Not found
Ayman Azhil,24 anni,Borussia Dortmund II U23,6.75,630K €,MAR,3
Ayyoub Bouaddi,17 anni,Lille,6.73,33M €,FRA,Not found
Azpilicueta,35 anni,Atlético Madrid,6.87,1.7M €,ESP,5
Aïssa Mandi,33 anni,Lille,6.84,1.6M €,ALG,4
Bafodé Diakité,24 anni,Lille,6.98,23M €,FRA,2
Bart Nieuwkoop,29 anni,Feyenoord,6.76,2.7M €,NED,5
Bartol Franjić,25 anni,GNK Dinamo Zagreb,7.05,1.9M €,CRO,5
Belmin Beganović,20 anni,Sturm Graz II,7.13,455K €,AUT,3
Ben Broggio,18 anni,Aston Villa U21,7.03,Not found,ENG,Not found
Ben Hawighorst,17 anni,Bayer Leverkusen U19,6.20,Not found,GER,Not found
Benjamin André,34 anni,Lille,7.11,6.2M €,FRA,3
Benjamin Boakye,20 anni,VfB Stuttgart II U21,6.73,430K €,GER,1
Benjamin Henrichs,28 anni,RB Leipzig,6.82,18.4M €,GER,5
Benjamín Domínguez,21 anni,Bologna,6.83,15.6M €,ARG,3
Berat Djimsiti,32 anni,Atalanta,7.08,8.7M €,ALB,5
Bernardo Silva,30 anni,Manchester City,7.10,43M €,POR,5
Biel,24 anni,Sporting,6.89,4.9M €,BRA,5
Bjorn Meijer,22 anni,Club Brugge KV,6.91,4.7M €,NED,2
Bobby Clark,20 anni,Red Bull Salzburg,6.85,8.8M €,ENG,1
Bojan Miovski,25 anni,Girona FC,6.78,2.9M €,MKD,5
Borja Garcés,25 anni,Atlético Madrid B,6.58,535K €,ESP,10
Boubacar Kamara,25 anni,Aston Villa,6.85,37M €,FRA,3
Bradel Kiwa,19 anni,AS Monaco,5.80,Not found,FRA,Not found
Bradley Barcola,22 anni,Paris Saint-Germain,7.23,68M €,FRA,3
Bradley Burrowes,17 anni,Aston Villa U18,6.81,Not found,ENG,Not found
Bradley Locko,23 anni,Stade Brestois,6.40,9.3M €,FRA,4
Brahim Díaz,25 anni,Real Madrid,6.91,47M €,MAR,5
Brandon Mechele,32 anni,Club Brugge KV,7.24,3.3M €,BEL,3
Brayden Clarke,17 anni,Arsenal U18,-,Not found,WAL,Not found
Breel Embolo,28 anni,AS Monaco,6.85,10.9M €,SUI,5
Bremer,28 anni,Juventus,7.53,47M €,BRA,3
Brendan Chardonnet,30 anni,Stade Brestois,7.05,6.2M €,FRA,3
Bruma,30 anni,Benfica,7.25,8.6M €,POR,5
Bruno Duarte,29 anni,FK Crvena zvezda,7.18,3.8M €,BRA,5
Bryan Gil,24 anni,Girona FC,6.99,15.5M €,ESP,5
Bryan Okoh,22 anni,FC Liefering,7.12,620K €,SUI,5
Caio Henrique,27 anni,AS Monaco,7.04,14.3M €,BRA,5
Callum McGregor,31 anni,Celtic,7.28,6M €,SCO,3
