Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Marc Bernal,17,Barcelona,7.0,ESP,1,4900000,False,0.4825,0.1198648648648648,0.16,0.1,1,0.4,0.611,11.457
Lamine Yamal,17,Barcelona,7.8,ESP,1,194000000,False,0.4825,0.8864864864864864,0.16,0.1,1,0.4,0.688,11.337
Senny Mayulu,19,Paris Saint-Germain,6.92,FRA,1,9600000,False,0.5275,0.1389189189189189,0.16,0.1,1,0.4,0.636,10.881
Désiré Doué,19,Paris Saint-Germain,7.33,FRA,2,62000000,False,0.5275,0.3513513513513513,0.22,0.1,1,0.4,0.705,10.397
Oscar Bobb,21,Manchester City,6.87,NOR,1,24000000,False,0.5725,0.1972972972972973,0.16,0.1,1,0.4,0.664,10.346
Vasilije Adžić,19,Juventus,7.03,MNE,2,3300000,False,0.5275,0.1133783783783783,0.22,0.1,1,0.4,0.681,10.323
David Jiménez,21,Real Madrid,7.21,ESP,2,315000,False,0.5725,0.101277027027027,0.22,0.1,1,0.4,0.702,10.271
Arda Güler,20,Real Madrid,7.22,TUR,2,43000000,False,0.55,0.2743243243243243,0.22,0.1,1,0.4,0.708,10.198
Arnau Tenas,23,Paris Saint-Germain,7.3,ESP,2,4400000,False,0.6174999999999999,0.1178378378378378,0.22,0.1,1,0.4,0.727,10.041
Héctor Fort,18,Barcelona,6.74,ESP,2,9700000,False,0.505,0.1393243243243243,0.22,0.1,1,0.4,0.672,10.03
Marc Casadó,21,Barcelona,7.04,ESP,2,29000000,False,0.5725,0.2175675675675675,0.22,0.1,1,0.4,0.714,9.86
Caoimhín Kelleher,26,Liverpool,7.04,IRL,1,19800000,False,0.685,0.1802702702702703,0.16,0.1,1,0.4,0.719,9.791
Samuel Mbangula,21,Juventus,6.91,BEL,2,12700000,False,0.5725,0.1514864864864865,0.22,0.1,1,0.4,0.707,9.774
Javison Idele,18,Atalanta,6.64,ITA,0,195000,False,0.505,0.1007905405405405,0.1,0.1,2,0.7,0.693,9.582
Gavi,20,Barcelona,6.89,ESP,2,72000000,False,0.55,0.3918918918918919,0.22,0.1,1,0.4,0.72,9.569
Alejandro Balde,21,Barcelona,6.93,ESP,2,66000000,False,0.5725,0.3675675675675676,0.22,0.1,1,0.4,0.729,9.506
Gerard Martín,23,Barcelona,6.87,ESP,2,6800000,False,0.6174999999999999,0.1275675675675675,0.22,0.1,1,0.4,0.728,9.437
Federico Cassa,19,Atalanta U23,7.7,ITA,0,775000,False,0.5275,0.1031418918918919,0.1,0.1,3,1.0,0.824,9.345
Quentin Ndjantou,17,Paris Saint-Germain U19,7.5,FRA,0,6400000,True,0.4825,0.1259459459459459,0.1,0.1,3,1.0,0.804,9.328
Giacomo De Pieri,18,Inter U20,7.53,ITA,0,1400000,False,0.505,0.1056756756756756,0.1,0.1,3,1.0,0.813,9.262
Bradley Barcola,22,Paris Saint-Germain,7.23,FRA,3,68000000,False,0.5950000000000001,0.3756756756756757,0.28,0.1,1,0.4,0.789,9.163
Salko Hamzić,18,Red Bull Salzburg,7.2,AUT,2,435000,False,0.505,0.1017635135135135,0.22,0.1,2,0.7,0.789,9.125
Gianluigi Donnarumma,26,Paris Saint-Germain,7.02,ITA,2,36000000,False,0.685,0.2459459459459459,0.22,0.1,1,0.4,0.773,9.082
Kerim Alajbegović,17,Bayer Leverkusen U19,7.3,BIH,0,6400000,True,0.4825,0.1259459459459459,0.1,0.1,3,1.0,0.804,9.08
Presnel Kimpembe,29,Paris Saint-Germain,6.76,FRA,1,7600000,False,0.7525,0.1308108108108108,0.16,0.1,1,0.4,0.747,9.05
Thomas Berenbruch,19,Inter U20,7.42,ITA,0,1000000,False,0.5275,0.104054054054054,0.1,0.1,3,1.0,0.824,9.005
Davide Bartesaghi,19,Milan Futuro,7.4,ITA,0,1100000,False,0.5275,0.1044594594594594,0.1,0.1,3,1.0,0.824,8.981
Eduardo Camavinga,22,Real Madrid,7.08,FRA,3,67000000,False,0.5950000000000001,0.3716216216216217,0.28,0.1,1,0.4,0.789,8.973
Fermín,22,Barcelona,6.95,ESP,3,52000000,False,0.5950000000000001,0.3108108108108108,0.28,0.1,1,0.4,0.783,8.876
Matteo Cocchi,18,Inter U20,7.2,ITA,0,1500000,False,0.505,0.106081081081081,0.1,0.1,3,1.0,0.813,8.856
Jérémy Doku,22,Manchester City,7.35,BEL,4,51000000,False,0.5950000000000001,0.3067567567567568,0.3399999999999999,0.1,1,0.4,0.83,8.855
Diego Aguado,18,Real Madrid U19,7.19,ESP,0,1100000,False,0.505,0.1044594594594594,0.1,0.1,3,1.0,0.813,8.844
Ibrahima Konaté,25,Liverpool,7.11,FRA,3,62000000,False,0.6625,0.3513513513513513,0.28,0.1,1,0.4,0.82,8.671
Andrea Natali,17,Bayer Leverkusen U19,7.35,ITA,1,6400000,True,0.4825,0.1259459459459459,0.16,0.1,3,1.0,0.852,8.627
Samson Baidoo,21,Red Bull Salzburg,7.09,AUT,2,6200000,False,0.5725,0.1251351351351351,0.22,0.1,2,0.7,0.825,8.594
Soriba Diaoune,17,Lille U19,6.9,FRA,0,6400000,True,0.4825,0.1259459459459459,0.1,0.1,3,1.0,0.804,8.582
Esmir Bajraktarević,20,PSV Eindhoven,6.96,BIH,2,3600000,False,0.55,0.1145945945945946,0.22,0.1,2,0.7,0.812,8.571
Orkun Kökçü,24,Benfica,7.42,TUR,2,27000000,False,0.64,0.2094594594594594,0.22,0.1,2,0.7,0.867,8.558
Ousmane Dembélé,28,Paris Saint-Germain,7.76,FRA,4,73000000,False,0.73,0.395945945945946,0.3399999999999999,0.1,1,0.4,0.907,8.556
Matteo Motta,20,Inter U20,7.14,ITA,0,105000,False,0.55,0.1004256756756756,0.1,0.1,3,1.0,0.835,8.551
Daniel Yáñez,18,Real Madrid Castilla,6.94,ESP,0,160000,False,0.505,0.1006486486486486,0.1,0.1,3,1.0,0.813,8.536
Tidiam Gomis,18,RB Leipzig,6.72,FRA,2,3200000,False,0.505,0.1129729729729729,0.22,0.1,2,0.7,0.79,8.506
John Mellberg,18,Red Bull Salzburg,7.11,SWE,3,1400000,False,0.505,0.1056756756756756,0.28,0.1,2,0.7,0.837,8.495
El Chadaïlle Bitshiabu,20,RB Leipzig,6.92,FRA,2,11600000,False,0.55,0.147027027027027,0.22,0.1,2,0.7,0.816,8.48
Marc Aznar,19,Girona U19,7.0,ESP,0,6400000,True,0.5275,0.1259459459459459,0.1,0.1,3,1.0,0.826,8.475
Francesco Camarda,17,Milan,6.82,ITA,0,10300000,False,0.4825,0.1417567567567567,0.1,0.1,3,1.0,0.805,8.472
Mario Rivas,18,Real Madrid C,6.84,ESP,0,195000,False,0.505,0.1007905405405405,0.1,0.1,3,1.0,0.813,8.413
Alexis Olmedo,19,Barcelona Atlètic,6.93,ESP,0,195000,False,0.5275,0.1007905405405405,0.1,0.1,3,1.0,0.824,8.41
Mike Aidoo,19,Inter U20,6.92,ITA,0,390000,False,0.5275,0.101581081081081,0.1,0.1,3,1.0,0.824,8.398
